
SetupTitle, C-V Oliver
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Marker.Enabled, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Marker.Interpolation, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Marker.Index, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Marker.Step, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Cursor.Enabled, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Cursor.Active, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Cursor.NormalX, 0.5
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Cursor.NormalY, 0.61538461538461553
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Enabled, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Active, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Fix, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Type, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.YAxisIndex, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.LastIndex, -1
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.LastStep, -1
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Cursor1.Enabled, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Cursor1.Active, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Cursor1.NormalX, 0.5
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Cursor1.NormalY, 0.61538461538461553
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Cursor2.Enabled, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Cursor2.Active, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Cursor2.NormalX, 0.5
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Cursor2.NormalY, 0.61538461538461553
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Gradient, 
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Enabled, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Active, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Fix, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Type, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.YAxisIndex, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.LastIndex, -1
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.LastStep, -1
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Cursor1.Enabled, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Cursor1.Active, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Cursor1.NormalX, 0.5
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Cursor1.NormalY, 0.61538461538461553
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Cursor2.Enabled, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Cursor2.Active, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Cursor2.NormalX, 0.5
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Cursor2.NormalY, 0.61538461538461553
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Gradient, 
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.BackgroundColor, -1
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.TextColor, -16777216
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.GridColor, -3618616
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.LineColor, -65336
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Var2LabelColor, -11513776
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.ChangeToColor, -24416
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.GridStyle, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.LineStyle, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Var2LabelStyle, Adjacent
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y1.Visible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y1.PlotColor, -16777036
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y1.Thickness, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y1.PlotStyle, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y2.Visible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y2.PlotColor, -39936
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y2.Thickness, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y2.PlotStyle, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y3.Visible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y3.PlotColor, -16731136
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y3.Thickness, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y3.PlotStyle, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y4.Visible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y4.PlotColor, -8892376
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y4.Thickness, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y4.PlotStyle, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y5.Visible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y5.PlotColor, -65536
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y5.Thickness, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y5.PlotStyle, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y6.Visible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y6.PlotColor, -14336
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y6.Thickness, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y6.PlotStyle, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y7.Visible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y7.PlotColor, -6946586
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y7.Thickness, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y7.PlotStyle, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y8.Visible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y8.PlotColor, -16733546
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y8.Thickness, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y8.PlotStyle, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.AxisTitle.FontName, Tahoma
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.AxisTitle.RelativeSize, Medium
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.AxisTitle.Size, 7
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.ScaleText.FontName, Tahoma
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.ScaleText.RelativeSize, Medium
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.ScaleText.Size, 7
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.Legend.FontName, Tahoma
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.Legend.RelativeSize, Medium
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.Legend.Size, 7
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Scale.LogTickedDecadeCount, 6
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.LogoVisible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.GridVisible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.SetupSummaryVisible, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.ChangeColorEnabled, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.MinorTicksValueVisible, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.CursorFormat, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.CursorDigits, 6
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.MarkerFormat, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.MarkerDigits, 6
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.InterceptFormat, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.InterceptDigits, 6
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Var2LabelVisible, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.ParametersVisible, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.GridNumberFixity, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.AddsVerticalMargin, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Notes, 
AnalysisSetup, Analysis.Setup.Vector.Graph.SetupInfo, 		0	0	0
AnalysisSetup, Analysis.Setup.Vector.List.Datum.Name, Vanode, Cp, G, D, Rp, Cs, X, Rs, Z
AnalysisSetup, Analysis.Setup.Vector.List.Datum.Unit, V, F, S, , ohm, F, ohm, ohm, ohm
AnalysisSetup, Analysis.Setup.Preference.GraphVisible, true
AnalysisSetup, Analysis.Setup.Preference.ListVisible, true
AnalysisSetup, Analysis.Setup.Preference.ScalarVisible, true
AnalysisSetup, Analysis.Setup.Title, Cj-V
Dimension1, 1001, 1001, 1001, 1001, 1001, 1001, 1001, 1001, 1001, 1001, 1001, 1001, 1001
Dimension2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
DataName, Vanode, Cp, G, PI, D, Rp, Cs, X, Rs, Z, Theta, CpPerArea, CpPerW
DataValue, 0, 7.47551E-11, 9.77902E-05, 3.141592653589, 0.20819708241911245, 10225.973563813142, 7.7995436443033481E-11, -2040.5673761205189, 424.84017418791569, 2084.3234849925284, -1.3655315243959003, 7.4755099999999991E-12, 7.47551E-13
DataValue, -0.025, 7.1691799999999992E-11, 8.82703E-05, 3.141592653589, 0.19595901585966705, 11328.83880535129, 7.4444760524318265E-11, -2137.893143466365, 418.93943640679885, 2178.5539571599647, -1.3772893308849603, 7.1691799999999995E-12, 7.1691799999999989E-13
DataValue, -0.05, 6.90512E-11, 8.08973E-05, 3.141592653589, 0.18645881864169248, 12361.35198578939, 7.1451895547220363E-11, -2227.44185963205, 415.32617774004666, 2265.831651283308, -1.3864543866666232, 6.9051200000000008E-12, 6.90512E-13
DataValue, -0.075, 6.67543E-11, 7.49577E-05, 3.141592653589, 0.17871340839170471, 13340.857577006766, 6.8886331031601E-11, -2310.399475607499, 412.89936503222339, 2347.0048194521073, -1.3939498817959171, 6.67543E-12, 6.6754299999999992E-13
DataValue, -0.1, 6.46994E-11, 6.99412E-05, 3.141592653589, 0.17204931893930517, 14297.724374188603, 6.6614564878560976E-11, -2389.1913635115175, 411.05874690782645, 2424.2946736911863, -1.4004150892992049, 6.46994E-12, 6.4699399999999994E-13
DataValue, -0.125, 6.28578E-11, 6.5649400000000009E-05, 3.141592653589, 0.16622322959154973, 15232.431674927721, 6.4594571200473893E-11, -2463.9058690859133, 409.55839096903463, 2497.7129953878116, -1.406079132670206, 6.28578E-12, 6.2857799999999989E-13
DataValue, -0.15, 6.11814E-11, 6.18935E-05, 3.141592653589, 0.16100737266981, 16156.785445967669, 6.276742831734953E-11, -2535.629503366853, 408.25504440115213, 2568.2852566690135, -1.411158991621178, 6.1181400000000004E-12, 6.11814E-13
DataValue, -0.17500000000000002, 5.96523E-11, 5.8583300000000005E-05, 3.141592653589, 0.15630280437867083, 17069.71099272318, 6.1109639491371716E-11, -2604.416331312299, 407.07757635372184, 2636.0380460031747, -1.4157480393531117, 5.96523E-12, 5.96523E-13
DataValue, -0.2, 5.8242499999999993E-11, 5.5628300000000004E-05, 3.141592653589, 0.15201131340174476, 17976.461621153259, 5.9588335039378178E-11, -2670.9077034416223, 406.0081879749988, 2701.5903851262397, -1.4199399072729726, 5.8242499999999991E-12, 5.8242499999999981E-13
DataValue, -0.225, 5.6943E-11, 5.29814E-05, 3.141592653589, 0.14808232270746313, 18874.548426428897, 5.8191667417675914E-11, -2735.012591228683, 405.0070171433008, 2764.8371666546204, -1.4237823837610042, 5.6943E-12, 5.6942999999999993E-13
DataValue, -0.25, 5.57329E-11, 5.05799E-05, 3.141592653589, 0.14443965962825889, 19770.699428033666, 5.6895645197357964E-11, -2797.3132660656797, 404.04297602414, 2826.3425544299266, -1.4273487505195777, 5.5732899999999992E-12, 5.5732899999999994E-13
DataValue, -0.275, 5.46035E-11, 4.8397100000000005E-05, 3.141592653589, 0.14106490785965575, 20662.395060861083, 5.5690071876906949E-11, -2857.86923464059, 403.14506025951977, 2886.1639769626472, -1.4306561014924009, 5.46035E-12, 5.460349999999999E-13
DataValue, -0.3, 5.35072E-11, 4.63278E-05, 3.141592653589, 0.13780011610726353, 21585.311627143961, 5.4523241371834274E-11, -2919.0293733004673, 402.24258656131713, 2946.6135784378748, -1.433858628919128, 5.35072E-12, 5.350719999999999E-13
DataValue, -0.325, 5.25158E-11, 4.4500300000000005E-05, 3.141592653589, 0.13486308337822253, 22471.758617357635, 5.3470960062269661E-11, -2976.4743873420539, 401.41651347325524, 3003.4205492724927, -1.4367420672619631, 5.2515800000000005E-12, 5.2515799999999991E-13
DataValue, -0.35000000000000003, 5.15876E-11, 4.28256E-05, 3.141592653589, 0.13212295068733559, 23350.51931554958, 5.24881376031949E-11, -3032.2078541847122, 400.62424879219839, 3058.559180349429, -1.4394342231306874, 5.1587599999999989E-12, 5.1587599999999993E-13
DataValue, -0.375, 5.07071E-11, 4.12699E-05, 3.141592653589, 0.12953429768040117, 24230.734748569779, 5.1557921239623983E-11, -3086.9154392830646, 399.86142342631882, 3112.7055895520662, -1.4419793127303777, 5.07071E-12, 5.0707099999999985E-13
DataValue, -0.4, 4.9876E-11, 3.98297E-05, 3.141592653589, 0.12709707347960672, 25106.892595224166, 5.0681680249759225E-11, -3140.28545043535, 399.12109064092158, 3165.5474021423761, -1.4443770571625145, 4.9875999999999995E-12, 4.9875999999999989E-13
DataValue, -0.425, 4.90863E-11, 3.8486100000000004E-05, 3.141592653589, 0.12478538931087781, 25983.406996292164, 4.9850642087137064E-11, -3192.6357701419092, 398.39429750499232, 3217.3966459039702, -1.4466526468127858, 4.90863E-12, 4.908629999999999E-13
DataValue, -0.45, 4.83351E-11, 3.72447E-05, 3.141592653589, 0.12263713344911277, 26849.45777520023, 4.90620534512939E-11, -3243.9519322185683, 397.8289660139958, 3268.2551957802116, -1.4487685195854105, 4.8335100000000005E-12, 4.83351E-13
DataValue, -0.47500000000000003, 4.7622299999999996E-11, 3.6075300000000003E-05, 3.141592653589, 0.12056457412860155, 27719.797201963669, 4.8314529015765729E-11, -3294.1424936586045, 397.15688686687918, 3317.9976433555703, -1.4508108783332079, 4.7622299999999996E-12, 4.7622299999999988E-13
DataValue, -0.5, 4.69406E-11, 3.4975400000000004E-05, 3.141592653589, 0.11858620888138802, 28591.524328528048, 4.7600711056309583E-11, -3343.5412950798595, 396.49788642188685, 3366.9688097517815, -1.4527613545364453, 4.6940599999999991E-12, 4.6940599999999993E-13
DataValue, -0.525, 4.62901E-11, 3.39441E-05, 3.141592653589, 0.11670684020572364, 29460.200741807854, 4.6920593684485389E-11, -3392.0061660379456, 395.87032159661982, 3415.0284247661034, -1.4546150660229384, 4.62901E-12, 4.62901E-13
DataValue, -0.55, 4.56671E-11, 3.2969800000000004E-05, 3.141592653589, 0.11490343469921445, 30330.787569230019, 4.6270033556172267E-11, -3439.6980261256972, 395.2331175299509, 3462.3303897989663, -1.456394605965285, 4.5667099999999992E-12, 4.56671E-13
DataValue, -0.57500000000000007, 4.50714E-11, 3.20547E-05, 3.141592653589, 0.11319071416306274, 31196.673186771361, 4.5648860986410463E-11, -3486.5041460577841, 394.63989422475981, 3508.7678473492442, -1.4580853352413969, 4.5071399999999993E-12, 4.50714E-13
DataValue, -0.6, 4.44795E-11, 3.1158700000000004E-05, 3.141592653589, 0.11149093684323548, 32093.765144245423, 4.5032390370724652E-11, -3534.2326219351971, 394.03490604147959, 3556.1304437731264, -1.459763927568098, 4.44795E-12, 4.4479499999999997E-13
DataValue, -0.625, 4.39309E-11, 3.0340400000000002E-05, 3.141592653589, 0.10991863666318151, 32959.354524001, 4.4461677820607273E-11, -3579.5982269065375, 393.46455690350848, 3601.15784486208, -1.4613171913421093, 4.39309E-12, 4.3930899999999995E-13
DataValue, -0.65, 4.34043E-11, 2.9565000000000002E-05, 3.141592653589, 0.10840898004375313, 33823.778116015557, 4.3914409337589009E-11, -3624.207759882248, 392.89666671548986, 3645.442315756326, -1.4628090693733291, 4.3404299999999991E-12, 4.3404299999999995E-13
DataValue, -0.675, 4.28969E-11, 2.8828000000000002E-05, 3.141592653589, 0.10695688265246015, 34688.497294297209, 4.33876308733331E-11, -3668.2100379386079, 392.34031057237604, 3689.1321203954722, -1.4642445215747382, 4.28969E-12, 4.2896899999999997E-13
DataValue, -0.70000000000000007, 4.24084E-11, 2.81298E-05, 3.141592653589, 0.10556863070022748, 35549.488442861308, 4.2881030413188469E-11, -3711.5466106660042, 391.82289346808039, 3732.1714085759781, -1.4656172725236218, 4.24084E-12, 4.2408399999999993E-13
DataValue, -0.725, 4.1938E-11, 2.74638E-05, 3.141592653589, 0.10422527364414846, 36411.567226676569, 4.2393568621705E-11, -3754.2237718211363, 391.28499993942512, 3774.5595875657486, -1.4669460088108148, 4.1937999999999994E-12, 4.1938E-13
DataValue, -0.75, 4.14834E-11, 2.68287E-05, 3.141592653589, 0.1029308162236126, 37273.516793582989, 4.1922906373632442E-11, -3796.3718849425136, 390.76365680550759, 3816.4297090686719, -1.4682267259992361, 4.14834E-12, 4.1483399999999995E-13
DataValue, -0.775, 4.10453E-11, 2.6225900000000002E-05, 3.141592653589, 0.10169207246712274, 38130.245291867956, 4.14697608415844E-11, -3837.8553399406292, 390.27946334757644, 3857.6484637433819, -1.4694526372183894, 4.1045299999999993E-12, 4.1045299999999995E-13
DataValue, -0.8, 4.06195E-11, 2.5646E-05, 3.141592653589, 0.10048591613721929, 38992.4354675193, 4.1029652124959783E-11, -3879.0224837201572, 389.78712799349177, 3898.5573529648004, -1.4706465923995895, 4.0619500000000005E-12, 4.0619499999999997E-13
DataValue, -0.82500000000000007, 4.02094E-11, 2.50934E-05, 3.141592653589, 0.099323507661968971, 39851.1162297656, 4.0606072131302175E-11, -3919.4862920328378, 389.29712675770594, 3938.7720226404485, -1.4717975134631007, 4.02094E-12, 4.0209399999999994E-13
DataValue, -0.85, 3.98125E-11, 2.45651E-05, 3.141592653589, 0.098201748007477691, 40708.159136335693, 4.0196435160598012E-11, -3959.4292990425411, 388.82287827799962, 3978.4750350842842, -1.4729084369945324, 3.98125E-12, 3.9812499999999993E-13
DataValue, -0.875, 3.94277E-11, 2.40588E-05, 3.141592653589, 0.097116416754217436, 41564.832826242375, 3.9799566232361008E-11, -3998.9114997571683, 388.3599557736498, 4017.7253064562087, -1.4739835148104956, 3.94277E-12, 3.942769999999999E-13
DataValue, -0.9, 3.90389E-11, 2.3552500000000002E-05, 3.141592653589, 0.096019529166365136, 42458.337756076849, 3.9398828897546162E-11, -4039.5856309791993, 387.87911031383675, 4058.1648899756979, -1.475070267914919, 3.90389E-12, 3.9038899999999994E-13
DataValue, -0.925, 3.86771E-11, 2.3087400000000002E-05, 3.141592653589, 0.095003861022174674, 43313.668927640181, 3.9026189201373324E-11, -4078.1574206670148, 387.44070081959939, 4096.52026046412, -1.4760767543196924, 3.86771E-12, 3.8677099999999995E-13
DataValue, -0.95000000000000007, 3.83265E-11, 2.26414E-05, 3.141592653589, 0.094020866202803519, 44166.880139920679, 3.8665303319649385E-11, -4116.2212481869838, 387.01068723692532, 4134.3747575735815, -1.4770510461172648, 3.83265E-12, 3.83265E-13
DataValue, -0.975, 3.79849E-11, 2.22107E-05, 3.141592653589, 0.093061787566429091, 45023.344604177262, 3.8313868086098042E-11, -4153.9774249440488, 386.57656467588521, 4171.92640003409, -1.4780018055573605, 3.79849E-12, 3.7984899999999997E-13
DataValue, -1, 3.76533E-11, 2.17962E-05, 3.141592653589, 0.0921293212180724, 45879.556986997733, 3.7972894125107096E-11, -4191.277666842484, 386.13956648266424, 4209.0274702567576, -1.4789263448992176, 3.76533E-12, 3.76533E-13
DataValue, -1.025, 3.73299E-11, 2.1396900000000002E-05, 3.141592653589, 0.091225060925527124, 46735.742093480825, 3.7640559866085364E-11, -4228.2830982898377, 385.725383251867, 4245.840556423228, -1.4798230684338032, 3.73299E-12, 3.73299E-13
DataValue, -1.05, 3.70166E-11, 2.1013700000000002E-05, 3.141592653589, 0.0903495790442938, 47588.002112907292, 3.73187682246096E-11, -4264.7426660503206, 385.31770460988571, 4282.1139336916094, -1.4806913932353403, 3.70166E-12, 3.7016599999999994E-13
DataValue, -1.075, 3.67105E-11, 2.06422E-05, 3.141592653589, 0.089492329613934746, 48444.448750617667, 3.7004509881301185E-11, -4300.9607099906061, 384.90299351506212, 4318.1492960873593, -1.4815417666843445, 3.67105E-12, 3.67105E-13
DataValue, -1.1, 3.64142E-11, 2.0286200000000002E-05, 3.141592653589, 0.088664559610031876, 49294.594354783047, 3.6700466742301268E-11, -4336.5917989400441, 384.50200206149492, 4353.604279240747, -1.4823630200228064, 3.64142E-12, 3.6414199999999994E-13
DataValue, -1.125, 3.61238E-11, 1.99401E-05, 3.141592653589, 0.087852481764031015, 50150.1998485464, 3.6402605603524329E-11, -4372.0755823183954, 384.09769036659213, 4388.9151203058927, -1.4831688209857277, 3.61238E-12, 3.6123799999999994E-13
DataValue, -1.1500000000000001, 3.58416E-11, 1.96079E-05, 3.141592653589, 0.087069054078287855, 50999.852100428914, 3.6113315892814951E-11, -4407.0985772757786, 383.72190435317026, 4423.7721878173852, -1.4839463013852872, 3.5841600000000004E-12, 3.5841599999999996E-13
DataValue, -1.175, 3.5566E-11, 1.9286200000000002E-05, 3.141592653589, 0.086304168685252411, 51850.545986249228, 3.58309101334312E-11, -4441.8336709633195, 383.34876241065228, 4458.34527982583, -1.4847054818288958, 3.5565999999999996E-12, 3.5565999999999992E-13
DataValue, -1.2, 3.5286E-11, 1.89613E-05, 3.141592653589, 0.085523568056711366, 52738.9999630827, 3.5544091708538527E-11, -4477.6764700306785, 382.94686832060387, 4494.0221265835971, -1.485480362872877, 3.5285999999999997E-12, 3.5285999999999997E-13
DataValue, -1.225, 3.50247E-11, 1.8661E-05, 3.141592653589, 0.084797025899967987, 53587.696264937571, 3.5276546352281149E-11, -4511.6361874705972, 382.57333064017706, 4527.8276735550953, -1.4862016738523689, 3.5024699999999997E-12, 3.50247E-13
DataValue, -1.25, 3.4767799999999997E-11, 1.83676E-05, 3.141592653589, 0.084080509342996532, 54443.694331322549, 3.5013592076455893E-11, -4545.51885863078, 382.18954086187227, 4561.5579070436324, -1.4869131178512995, 3.4767799999999997E-12, 3.4767799999999994E-13
DataValue, -1.2750000000000001, 3.4518099999999996E-11, 1.8085800000000002E-05, 3.141592653589, 0.083389423802936083, 55291.997036348956, 3.4758131825783044E-11, -4578.9268505471537, 381.83407170291997, 4594.8197310639844, -1.4875993915263086, 3.4518099999999996E-12, 3.4518099999999992E-13
DataValue, -1.3, 3.42736E-11, 1.78112E-05, 3.141592653589, 0.082709155805024331, 56144.448436938554, 3.4508058995533919E-11, -4612.109394867256, 381.46367452989239, 4627.857777115526, -1.4882749997045999, 3.4273599999999996E-12, 3.4273599999999992E-13
DataValue, -1.325, 3.40349E-11, 1.7546300000000002E-05, 3.141592653589, 0.0820504945797998, 56992.072402728772, 3.4264032601166617E-11, -4644.956562600184, 381.12098326303186, 4660.5659176033441, -1.4889292210756084, 3.40349E-12, 3.40349E-13
DataValue, -1.35, 3.38022E-11, 1.72892E-05, 3.141592653589, 0.0814048092167105, 57839.576151585963, 3.4026198491004505E-11, -4677.4235780118443, 380.76477399379763, 4692.8960292399051, -1.4895706222362657, 3.38022E-12, 3.3802199999999995E-13
DataValue, -1.375, 3.35732E-11, 1.70388E-05, 3.141592653589, 0.0807730345738527, 58689.579078338851, 3.3792241061851973E-11, -4709.8072838858079, 380.42542657749163, 4725.1463635035134, -1.4901982698165741, 3.3573199999999997E-12, 3.3573199999999992E-13
DataValue, -1.4000000000000001, 3.33497E-11, 1.67952E-05, 3.141592653589, 0.0801518184636646, 59540.821187005808, 3.3563948944706928E-11, -4741.8420089402034, 380.06725988395385, 4757.0491651638158, -1.4908154898998758, 3.3349700000000003E-12, 3.33497E-13
DataValue, -1.425, 3.3130799999999996E-11, 1.65587E-05, 3.141592653589, 0.079545285842069408, 60391.214286145645, 3.3340433563276945E-11, -4773.6314763236269, 379.71988028886267, 4788.7101247866613, -1.4914181798779553, 3.31308E-12, 3.3130799999999993E-13
